Pid,OPTid,Px,Py,rD,cD,cluster,isCore
39,68,52.0,55.0,2.82842712475,3.60555127546,2,False
77,69,49.0,60.0,3.16227766017,3.16227766017,2,False
29,70,48.0,62.0,3.16227766017,4.472135955,2,False
89,71,46.0,57.0,3.16227766017,4.12310562562,2,False
83,72,45.0,62.0,4.472135955,4.472135955,2,False
41,73,54.0,64.0,6.32455532034,8.0622577483,2,False
43,74,36.0,49.0,5.0,5.0,2,False
47,75,44.0,46.0,4.12310562562,4.24264068712,2,False
73,76,43.0,46.0,4.12310562562,4.472135955,2,False
91,77,39.0,48.0,4.12310562562,3.16227766017,2,False
85,78,36.0,49.0,3.16227766017,5.0,2,False
99,79,37.0,48.0,3.16227766017,4.12310562562,2,False
65,80,52.0,46.0,6.0827625303,8.0,2,False
96,81,7.0,21.0,3.60555127546,6.0827625303,2,False
0,9223372036854775807,41.0,13.5,9223372036854775807,9223372036854775807,99,True
1,9223372036854775807,60.0,-27.5,9223372036854775807,9223372036854775807,99,True
2,9223372036854775807,38.0,100.5,9223372036854775807,9223372036854775807,99,True
3,9223372036854775807,66.0,76.5,9223372036854775807,9223372036854775807,99,True
4,9223372036854775807,51.0,83.5,9223372036854775807,9223372036854775807,99,True
5,9223372036854775807,81.0,-32.5,9223372036854775807,9223372036854775807,99,True
6,9223372036854775807,66.0,11.5,9223372036854775807,9223372036854775807,99,True
7,9223372036854775807,2.0,86.5,9223372036854775807,9223372036854775807,99,True
8,9223372036854775807,37.0,38.5,9223372036854775807,9223372036854775807,99,True
9,9223372036854775807,43.0,102.5,9223372036854775807,9223372036854775807,99,True
11,9223372036854775807,40.0,92.5,9223372036854775807,9223372036854775807,99,True
12,9223372036854775807,39.0,15.5,9223372036854775807,9223372036854775807,99,True
13,9223372036854775807,-24.0,14.5,9223372036854775807,9223372036854775807,99,True
15,9223372036854775807,-21.0,41.5,9223372036854775807,9223372036854775807,99,True
16,9223372036854775807,96.0,28.5,9223372036854775807,9223372036854775807,99,True
17,9223372036854775807,35.0,-30.5,9223372036854775807,9223372036854775807,99,True
18,9223372036854775807,4.0,35.5,9223372036854775807,9223372036854775807,99,True
19,9223372036854775807,43.0,-7.5,9223372036854775807,9223372036854775807,99,True
