Pid,OPTid,Px,Py,rD,cD,cluster,notCore
82,1,37.0,21.0,20.0,9223372036854775807,99,True
83,1,60.0,31.0,14.0356688476,20.0,99,False
86,1,39.0,21.0,20.0,9223372036854775807,99,True
87,2,62.0,23.0,14.0356688476,23.0867927612,99,False
80,3,28.0,77.0,36.3455636908,40.049968789,99,False
81,3,68.0,75.0,46.0108682813,36.3455636908,99,False
84,3,23.0,74.0,36.3455636908,45.0111097397,99,False
85,3,68.0,71.0,36.3455636908,37.1079506306,99,False
88,3,29.0,71.0,36.3455636908,39.0,99,False
89,3,76.0,77.0,36.3455636908,44.1021541424,99,False
90,0,45.0,32.0,9223372036854775807,15.6204993518,99,False
91,0,55.0,20.0,9223372036854775807,14.2126704036,99,False
94,1,46.0,31.0,14.2126704036,14.2126704036,99,False
95,2,55.0,24.0,14.2126704036,11.401754251,99,False
99,3,54.0,19.0,11.401754251,14.3178210633,99,False
103,4,63.0,22.0,11.401754251,19.2353840617,99,False
92,5,22.0,80.0,9223372036854775807,50.9901951359,99,False
96,5,19.0,79.0,50.9901951359,53.712196008,99,False
100,5,25.0,74.0,50.9901951359,46.5188133985,99,False
102,5,41.0,25.0,14.0356688476,14.0356688476,99,False
98,6,37.0,18.0,14.0356688476,9223372036854775807,99,True
104,7,22.0,75.0,46.5188133985,48.7647413609,99,False
93,9223372036854775807,72.0,70.0,9223372036854775807,9223372036854775807,99,True
97,9223372036854775807,77.0,77.0,9223372036854775807,9223372036854775807,99,True
101,9223372036854775807,73.0,71.0,9223372036854775807,9223372036854775807,99,True
105,0,76.0,81.0,9223372036854775807,48.3735464898,99,False
106,0,45.0,18.0,9223372036854775807,12.0830459736,99,False
110,1,40.0,22.0,12.0830459736,13.9283882772,99,False
114,2,40.0,29.0,12.0830459736,13.152946438,99,False
118,3,40.0,25.0,12.0830459736,13.152946438,99,False
119,4,53.0,27.0,12.0830459736,12.0415945788,99,False
107,5,57.0,21.0,12.0415945788,12.3693168769,99,False
111,6,59.0,24.0,12.0415945788,15.2315462117,99,False
115,7,61.0,18.0,12.0415945788,16.0,99,False
109,8,72.0,69.0,48.3735464898,44.4072066223,99,False
113,8,75.0,80.0,44.4072066223,47.2652091924,99,False
117,8,69.0,73.0,44.4072066223,41.0487515035,99,False
108,9223372036854775807,25.0,74.0,9223372036854775807,9223372036854775807,99,True
112,9223372036854775807,28.0,75.0,9223372036854775807,9223372036854775807,99,True
116,9223372036854775807,24.0,81.0,9223372036854775807,9223372036854775807,99,True
120,0,24.0,73.0,9223372036854775807,44.0113621693,99,False
121,0,76.0,78.0,9223372036854775807,49.0917508345,99,False
122,0,33.0,26.0,9223372036854775807,27.0185121722,99,False
124,0,27.0,81.0,44.0113621693,41.1946598481,99,False
125,0,71.0,69.0,49.0917508345,42.5793377121,99,False
126,0,40.0,32.0,27.0185121722,21.1896201004,99,False
128,0,23.0,72.0,41.1946598481,43.4626276242,99,False
129,0,73.0,74.0,42.5793377121,46.5295604965,99,False
130,0,38.0,25.0,21.1896201004,22.0,99,False
132,0,26.0,81.0,41.1946598481,42.1900462195,99,False
133,0,68.0,77.0,42.5793377121,41.1946598481,99,False
134,0,39.0,22.0,21.1896201004,21.2132034356,99,False
123,9223372036854775807,64.0,27.0,9223372036854775807,9223372036854775807,99,True
127,9223372036854775807,60.0,25.0,9223372036854775807,9223372036854775807,99,True
131,9223372036854775807,61.0,25.0,9223372036854775807,9223372036854775807,99,True
135,0,59.0,24.0,9223372036854775807,16.1245154966,99,False
136,0,31.0,78.0,9223372036854775807,38.0525951809,99,False
137,0,74.0,73.0,9223372036854775807,43.2897216438,99,False
139,0,67.0,22.0,16.1245154966,24.3310501212,99,False
140,0,26.0,71.0,38.0525951809,43.931765273,99,False
141,0,74.0,75.0,43.2897216438,43.1045241245,99,False
143,0,59.0,20.0,16.1245154966,17.0880074906,99,False
144,0,26.0,78.0,38.0525951809,43.0464865001,99,False
145,0,69.0,80.0,43.1045241245,38.0525951809,99,False
147,0,65.0,30.0,16.1245154966,22.360679775,99,False
148,0,25.0,74.0,38.0525951809,44.4072066223,99,False
149,0,75.0,72.0,38.0525951809,43.1740662898,99,False
138,9223372036854775807,43.0,26.0,9223372036854775807,9223372036854775807,99,True
142,9223372036854775807,36.0,28.0,9223372036854775807,9223372036854775807,99,True
146,9223372036854775807,40.0,18.0,9223372036854775807,9223372036854775807,99,True
